NOMBRE CORTO,ISO3166-1,COD_INDEC,P06
Angola,AGO,149.0,149
Argelia,DZA,102.0,102
Benin,BEN,112.0,112
Botswana,BWA,103.0,103
Burkina Faso,BFA,101.0,101
Burundi,BDI,104.0,104
Cabo Verde,CPV,150.0,150
Camerún,CMR,105.0,105
Chad,TCD,111.0,111
Comoras (las),COM,155.0,155
Congo,COG,108.0,108
Côte d'Ivoire,CIV,110.0,110
Djibouti,DJI,153.0,153
Egipto,EGY,113.0,113
Eritrea,ERI,160.0,160
Etiopía,ETH,161.0,161
Gabón,GAB,115.0,115
Gambia,GMB,116.0,116
Ghana,GHA,117.0,117
Guinea,GIN,118.0,118
Guinea-Bissau,GNB,156.0,156
Guinea Ecuatorial,GNQ,119.0,119
Kenya,KEN,120.0,120
Lesotho,LSO,121.0,121
Liberia,LBR,122.0,122
Jamahiriya Árabe Libia,LBY,123.0,123
Madagascar,MDG,124.0,124
Malawi,MWI,125.0,125
Malí,MLI,126.0,126
Marruecos,MAR,127.0,127
Mauricio,MUS,128.0,128
Mauritania,MRT,129.0,129
Mozambique,MOZ,151.0,151
Namibia,NAM,158.0,158
Níger,NER,130.0,130
Nigeria,NGA,131.0,131
República Centroafricana,CAF,107.0,107
República Democrática del Congo,COD,109.0,109
Rwanda,RWA,133.0,133
Santo Tomé y Príncipe,STP,157.0,157
Senegal,SEN,134.0,134
Seychelles,SYC,152.0,152
Sierra Leona,SLE,135.0,135
Somalia,SOM,136.0,136
Sudáfrica,ZAF,159.0,159
Sudán,SDN,162.0,162
Sudán del Sur,SSD,163.0,163
Swazilandia,SWZ,137.0,137
República Unida de Tanzanía,TZA,139.0,139
Togo,TGO,140.0,140
Túnez,TUN,141.0,141
Uganda,UGA,142.0,142
Zambia,ZMB,144.0,144
Zimbabwe,ZWE,132.0,132
Antigua y Barbuda,ATG,237.0,237
Argentina,ARG,200.0,200
Bahamas (las),BHS,239.0,239
Barbados,BRB,201.0,201
Belice,BLZ,236.0,236
Bolivia,BOL,202.0,202
Brasil,BRA,203.0,203
Canadá,CAN,204.0,204
Chile,CHL,208.0,208
Colombia,COL,205.0,205
Costa Rica,CRI,206.0,206
Cuba,CUB,207.0,207
Dominica,DMA,233.0,233
Ecuador,ECU,210.0,210
El Salvador,SLV,211.0,211
Estados Unidos,USA,212.0,212
Granada,GRD,240.0,240
Guatemala,GTM,213.0,213
Guyana,GUY,214.0,214
Haití,HTI,215.0,215
Honduras,HND,216.0,216
Jamaica,JAM,217.0,217
México,MEX,218.0,218
Nicaragua,NIC,219.0,219
Panamá,PAN,220.0,220
Paraguay,PRY,221.0,221
Perú,PER,222.0,222
Dominicana,DOM,209.0,209
Saint Kitts y Nevis,KNA,238.0,238
San Vicente y las Granadinas,VCT,235.0,235
Santa Lucía,LCA,234.0,234
Suriname,SUR,232.0,232
Trinidad y Tabago,TTO,224.0,224
Uruguay,URY,225.0,225
Venezuela (República Bolivariana de),VEN,226.0,226
 ,ANT,241.0,241
 , ,250.0,250
Afganistán,AFG,301.0,301
Arabia Saudita,SAU,302.0,302
Armenia,ARM,349.0,349
Azerbaiyán,AZE,350.0,350
Bahrein,BHR,303.0,303
Bangladesh,BGD,345.0,345
Bhután,BTN,305.0,305
Brunei Darussalam,BRN,346.0,346
Camboya,KHM,306.0,306
China,CHN,310.0,310
República de Corea,KOR,309.0,309
República Popular Democrática de Corea,PRK,308.0,308
Emiratos Árabes Unidos (los),ARE,331.0,331
Filipinas,PHL,312.0,312
Georgia,GEO,351.0,351
India,IND,315.0,315
Indonesia,IDN,316.0,316
Irán (República Islámica del),IRN,318.0,318
Iraq,IRQ,317.0,317
Israel,ISR,319.0,319
Japón,JPN,320.0,320
Jordania,JOR,321.0,321
Kazajstán,KAZ,352.0,352
Kirguistán,KGZ,353.0,353
Kuwait,KWT,323.0,323
República Democrática Popular Lao,LAO,324.0,324
Líbano,LBN,325.0,325
Malasia,MYS,326.0,326
Maldivas,MDV,327.0,327
Mongolia,MNG,329.0,329
Myanmar,MMR,304.0,304
Nepal,NPL,330.0,330
Omán,OMN,328.0,328
Pakistán,PAK,332.0,332
Palestina,PSE,357.0,357
Qatar,QAT,322.0,322
Singapur,SGP,333.0,333
República Árabe Siria,SYR,334.0,334
Sri Lanka,LKA,307.0,307
Tailandia,THA,335.0,335
Tayikistán,TJK,354.0,354
Timor-Leste,TLS,358.0,358
Turkmenistán,TKM,355.0,355
Uzbekistán,UZB,356.0,356
Viet Nam,VNM,337.0,337
Yemen,YEM,348.0,348
Albania,ALB,401.0,401
Alemania,DEU,438.0,438
Andorra,AND,404.0,404
Austria,AUT,405.0,405
Belarús,BLR,439.0,439
Bélgica,BEL,406.0,406
Bosnia y Herzegovina,BIH,446.0,446
Bulgaria,BGR,407.0,407
Chipre,CYP,435.0,435
Croacia,HRV,447.0,447
Dinamarca,DNK,409.0,409
Eslovaquia,SVK,448.0,448
Eslovenia,SVN,449.0,449
España,ESP,410.0,410
Estonia,EST,440.0,440
Finlandia,FIN,411.0,411
Francia,FRA,412.0,412
Grecia,GRC,413.0,413
Hungría,HUN,414.0,414
Irlanda,IRL,415.0,415
Islandia,ISL,416.0,416
Italia,ITA,417.0,417
Letonia,LVA,441.0,441
Liechtenstein,LIE,418.0,418
Lituania,LTU,442.0,442
Luxemburgo,LUX,419.0,419
ex República Yugoslava de Macedonia,MKD,450.0,450
Malta,MLT,420.0,420
República de Moldova,MDA,443.0,443
Mónaco,MCO,421.0,421
Montenegro,MNE,453.0,453
Noruega,NOR,422.0,422
Países Bajos (los),NLD,423.0,423
Polonia,POL,424.0,424
Portugal,PRT,425.0,425
Reino Unido de Gran Bretaña e Irlanda del Norte,GBR,426.0,426
República Checa,CZE,451.0,451
Rumania,ROU,427.0,427
Federación de Rusia,RUS,444.0,444
San Marino,SMR,428.0,428
Serbia,SRB,454.0,454
Suecia,SWE,429.0,429
Suiza,CHE,430.0,430
Turquía,TUR,436.0,436
Ucrania,UKR,445.0,445
Vaticano (Santa Sede),VAT,431.0,431
Australia,AUS,501.0,501
Fiji,FJI,512.0,512
Islas Marshall (las),MHL,520.0,520
Islas Salomón (las),SLB,518.0,518
Kiribati,KIR,514.0,514
Micronesia (Estados Federados de),FSM,515.0,515
Nauru,NRU,503.0,503
Nueva Zelandia,NZL,504.0,504
Palau,PLW,516.0,516
Papua Nueva Guinea,PNG,513.0,513
Samoa,WSM,506.0,506
Tonga,TON,519.0,519
Tuvalu,TUV,517.0,517
Vanuatu,VUT,505.0,505
