,desoc_ab_indec,censo2010_ratio
2003-03-31,19.1,2.3876827067220314
2003-06-30,19.1,2.3876827067220314
2003-09-30,15.4,1.9251473132732608
2003-12-31,15.4,1.9251473132732608
2004-03-31,14.6,1.8251396606356887
2004-06-30,14.6,1.8251396606356887
2004-09-30,12.6,1.575120529041759
2004-12-31,12.6,1.575120529041759
2005-03-31,12.5,1.5626195724620624
2005-06-30,12.5,1.5626195724620624
2005-09-30,10.6,1.3251013974478287
2005-12-31,10.6,1.3251013974478287
2006-03-31,10.9,1.3626042671869185
2006-06-30,10.9,1.3626042671869185
2006-09-30,9.5,1.1875908750711675
2006-12-31,9.5,1.1875908750711675
2007-03-31,9.2,1.150088005332078
2007-06-30,9.239497925592277,1.1550256238602492
2007-09-30,8.842444758835704,1.1053901798857002
2007-12-31,8.5,1.0625813092742025
2008-03-31,8.215012379311123,1.0269551305543756
2008-06-30,7.983466037727879,0.9980096229311788
2008-09-30,7.852275999669924,0.9816096132366664
2008-12-31,7.875,0.9844503306510993
2009-03-31,8.046167147766841,1.005847861472137
2009-06-30,8.36900072877195,1.046205147258265
2009-09-30,8.674645787845204,1.0844137033810002
2009-12-31,8.774999999999999,1.0969589398683677
2010-03-31,8.674481304156675,1.0843931413465164
2010-06-30,8.37305059869863,1.0467114197393335
2010-09-30,7.9993878358409445,1.0
2010-12-31,7.7,0.9625736566366304
2011-03-31,7.47902703142145,0.9349499217817595
2011-06-30,7.327904723885204,0.916058187734418
2011-09-30,7.231947444810381,0.9040626099422162
2011-12-31,7.175000000000001,0.896943634593224
2012-03-31,7.157043041350763,0.8946988429894485
2012-06-30,7.177247894612115,0.8972246429226417
2012-09-30,7.203161664871317,0.9004641120909067
2012-12-31,7.2,0.9000688737381479
2013-03-31,7.168768981672757,0.8961646976976623
2013-06-30,7.1088965440336995,0.8886800702651977
2013-09-30,7.068401574367361,0.8836178116902477
2013-12-31,7.1,0.8875679171584515
2014-03-31,7.2006840762319655,0.900154389810878
2014-06-30,7.37264706272273,0.9216514080852378
2014-09-30,7.511026374381457,0.9389501457509781
2014-12-31,7.5,0.9375717434772375
2015-03-31,7.344615770918555,0.9181472284680698
2015-06-30,7.0421041721425865,0.8803303848565404
2015-09-30,6.794514489721085,0.84937930616122
2015-12-31,6.824999999999999,0.853190286564286
2016-03-31,7.128767838248615,0.8911641721268281
2016-06-30,9.3,1.1625889619117744
2016-09-30,8.5,1.0625813092742025
2016-12-31,7.6,0.9500727000569339
2017-03-31,9.2,1.150088005332078
2017-06-30,8.7,1.0875832224335953
2017-09-30,8.3,1.0375793961148094
2017-12-31,7.2,0.9000688737381479
2018-03-31,9.1,1.1375870487523814
2018-06-30,9.6,1.2000918316508637
2018-09-30,9.0,1.1250860921726848
2018-12-31,9.1,1.1375870487523814
2019-03-31,10.1,1.2625966145493464
2019-06-30,10.6,1.3251013974478287
2019-09-30,9.7,1.2125927882305603
2019-12-31,8.9,1.1125851355929886
2020-03-31,10.4,1.300099484288436
2020-06-30,13.1,1.637625311940241
2020-09-30,11.7178379957131,1.4648418399232732
2020-12-31,11.033333333333333,1.3792722092931804
2021-03-31,,
